FIELD,LAT,LONG,SM0513,SM0529,SM0614,SM0630,T0513,T0529,T0614,T0630,SA0513,SA0529,SA0614,SA0630,CROP,sampling point
101A,39.38476,-112.65024,0.39,0.14,0.1,0.13,24.93,25.8,23.77,28.97,0.6,0.09,0,0.05,alfalfa,1
101B,39.38447,-112.65022,0.32,0.15,0.11,0.13,25.2,25.23,24.9,29.1,0.59,0.07,0.02,0.05,alfalfa,2
104A,39.39835,-112.64149,0.5,0.54,0.29,0.08,25.37,24.03,25.87,28.5,1.01,0.36,0.4,0.01,grain,3
104B,39.39805,-112.64149,0.47,0.12,0.26,0.1,23.07,24.3,25.9,30.17,0.95,0.04,0.38,0,grain,4
105A,39.41692,-112.6292,0.07,0.24,0.56,0.65,26.1,25.6,28.2,29.27,0,0.5,2.23,3.73,corn,5
105B,39.41664,-112.62922,0.07,0.22,0.46,0.52,27.53,26.03,26,25.87,0,0.22,1.17,1.35,corn,6
107A,39.42558,-112.65076,0.44,0.36,0.12,0.23,29.1,25.1,26.83,28.2,0.77,0.77,0.32,0.33,corn,7
107B,39.42521,-112.65077,0.54,0.15,0.12,0.18,28.83,25.9,27.97,29.3,0.87,0.12,0.02,0.13,grain,8
108A,39.43149,-112.62613,0.09,0.36,0.09,0.1,27.67,26.1,26.4,29.6,0,0.63,0.02,0,grain,9
108B,39.43152,-112.62648,0.07,0.42,0.08,0.08,27,25.33,27.07,30.73,0.03,0.81,0.01,0,grain,10
110A,39.36116,-112.63804,0.1,0.35,0.13,0.44,23.8,16.83,22.8,21.2,0.03,0.59,0.05,0.86,corn,11
110B,39.36113,-112.63842,0.13,0.43,0.12,0.47,24.53,16.57,21.43,21.27,0.06,0.93,0.03,0.91,alfalfa,12
111A,39.37198,-112.64099,0.26,0.15,0.5,0.13,25.23,25.07,24.67,26.9,0.43,0.06,0.94,0.04,alfalfa,13
111B,39.37169,-112.64102,0.26,0.15,0.54,0.14,24.93,25.23,23,27.07,0.45,0.03,1.37,0.07,alfalfa,14
113A,39.43207,-112.6226,0.07,0.14,0.06,0.17,27.1,24.93,28.13,31.33,0.13,0.06,0.03,0.1,alfalfa,15
113B,39.43212,-112.62296,0.1,0.17,0.06,0.17,26.93,24.8,29.27,30.7,0.11,0.08,0.03,0.13,alfalfa,16
117A,39.43937,-112.61599,0.27,0.37,0.13,0.11,27.03,26.93,30.5,29.7,0.33,0.52,0.07,0.02,alfalfa,17
117B,39.43936,-112.61637,0.19,0.27,0.08,0.08,26.9,25.57,30.63,30.37,0.12,0.35,0.04,0.01,alfalfa,18
119A,39.37638,-112.64129,0.25,0.14,0.1,0.16,24.27,21.4,24.57,22.33,0.41,0.05,0.02,0.06,alfalfa,19
119B,39.37606,-112.64129,0.21,0.15,0.1,0.33,24.43,22.73,24.87,23.4,0.24,0.1,0,0.73,alfalfa,20
