B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity,sr_cloud_qa,pixel_qa,radsat_qa,system:index,T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630
0.0369,0.061200000000000004,0.045200000000000004,0.49210000000000004,0.1824,298.0,0.0742,0.055,0,66,0,0,28.97,101A,0.13,23.77,24.93,alfalfa,0.14,0.39,0.09,0.1,25.8,0.6,0,1,0.05
0.039400000000000004,0.0693,0.052500000000000005,0.4617,0.19210000000000002,298.5,0.09040000000000001,0.055,0,66,0,1,29.1,101B,0.13,24.9,25.2,alfalfa,0.15,0.32,0.07,0.11,25.23,0.59,0.02,2,0.05
,,,,,,,,,,,2,28.5,104A,0.08,25.87,25.37,grain,0.54,0.5,0.36,0.29,24.03,1.01,0.4,3,0.01
,,,,,,,,,,,3,30.17,104B,0.1,25.9,23.07,grain,0.12,0.47,0.04,0.26,24.3,0.95,0.38,4,0
0.1646,0.21580000000000002,0.25420000000000004,0.3257,0.385,308.1,0.3225,0.036000000000000004,8,66,0,4,29.27,105A,0.65,28.2,26.1,corn,0.24,0.07,0.5,0.56,25.6,0,2.23,5,3.73
0.1552,0.21050000000000002,0.24700000000000003,0.32230000000000003,0.38180000000000003,308.1,0.3191,0.036000000000000004,8,66,0,5,25.87,105B,0.52,26,27.53,corn,0.22,0.07,0.22,0.46,26.03,0,1.17,6,1.35
0.1268,0.17370000000000002,0.23020000000000002,0.3326,0.4108,309.1,0.3257,0.036000000000000004,4,66,0,6,28.2,107A,0.23,26.83,29.1,corn,0.36,0.44,0.77,0.12,25.1,0.77,0.32,7,0.33
0.1077,0.1472,0.17470000000000002,0.3326,0.3272,307.20000000000005,0.23750000000000002,0.036000000000000004,4,66,0,7,29.3,107B,0.18,27.97,28.83,grain,0.15,0.54,0.12,0.12,25.9,0.87,0.02,8,0.13
,,,,,,,,,,,8,29.6,108A,0.1,26.4,27.67,grain,0.36,0.09,0.63,0.09,26.1,0,0.02,9,0
,,,,,,,,,,,9,30.73,108B,0.08,27.07,27,grain,0.42,0.07,0.81,0.08,25.33,0.03,0.01,10,0
0.08800000000000001,0.1177,0.1456,0.2243,0.2404,299.5,0.1691,0.052000000000000005,0,66,0,10,21.2,110A,0.44,22.8,23.8,corn,0.35,0.1,0.59,0.13,16.83,0.03,0.05,11,0.86
0.07100000000000001,0.1043,0.1187,0.32980000000000004,0.2243,298.5,0.1396,0.054,0,66,0,11,21.27,110B,0.47,21.43,24.53,alfalfa,0.43,0.13,0.93,0.12,16.57,0.06,0.03,12,0.91
,,,,,,,,,,,12,26.9,111A,0.13,24.67,25.23,alfalfa,0.15,0.26,0.06,0.5,25.07,0.43,0.94,13,0.04
,,,,,,,,,,,13,27.07,111B,0.14,23,24.93,alfalfa,0.15,0.26,0.03,0.54,25.23,0.45,1.37,14,0.07
0.0453,0.0726,0.0579,0.6014,0.1951,299.5,0.0838,0.034,8,66,0,14,31.33,113A,0.17,28.13,27.1,alfalfa,0.14,0.07,0.06,0.06,24.93,0.13,0.03,15,0.1
0.050100000000000006,0.0752,0.0555,0.5981000000000001,0.1951,299.0,0.08700000000000001,0.034,8,66,0,15,30.7,113B,0.17,29.27,26.93,alfalfa,0.17,0.1,0.08,0.06,24.8,0.11,0.03,16,0.13
,,,,,,,,,,,16,29.7,117A,0.11,30.5,27.03,alfalfa,0.37,0.27,0.52,0.13,26.93,0.33,0.07,17,0.02
,,,,,,,,,,,17,30.37,117B,0.08,30.63,26.9,alfalfa,0.27,0.19,0.35,0.08,25.57,0.12,0.04,18,0.01
0.0833,0.1258,0.1285,0.36360000000000003,0.321,309.1,0.2084,0.051000000000000004,0,66,0,18,22.33,119A,0.16,24.57,24.27,alfalfa,0.14,0.25,0.05,0.1,21.4,0.41,0.02,19,0.06
0.07350000000000001,0.1124,0.1139,0.4178,0.263,306.7,0.1495,0.054,0,66,0,19,23.4,119B,0.33,24.87,24.43,alfalfa,0.15,0.21,0.1,0.1,22.73,0.24,0,20,0.73
