T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630,sr_atmos_opacity,SAVIT,GRNDVI,RVI,CSIT,GLI,kVARI,VARI,kRVI,NDVI,pixel_qa,NGRDI,NBRT,MNDVI,radsat_qa,EVI2,GEMI,kEVI,kNDVI,NBR,NDDI,CIG,NDVIT,SAVI,NDSI,GBNDVI,GVMI,BAI,NDWI,BNDVI,sr_cloud_qa,B1,B2,GARI,B3,B4,B5,B6,MNDWI,B7,CVI,EVI,GNDVI,system:index
28.97,101A,0.13,23.77,24.93,alfalfa,0.14,0.39,0.09,0.1,25.8,0.6,0,1,0.05,0.016,0.5506663584960441,0.24806203,3.2307694,80.19497127661705,0.08041041303522715,0.0013895406017471327,-0.04007512,1.743741511302385,0.52727276,66,-0.027491394,0.975367932661909,0.42189512,0,0.39858019210907725,0.7058173932808148,0.49435960154637876,0.2710683598431799,0.42189512,-54.90033,2.41342764416791,0.981192352567782,0.3543160876635504,-0.4155911,0.3493976,0.4661642763948697,9.352688358190472,-0.54683745,0.6818281,0,0.0731,0.1132,0.70910233,0.1196,0.3864,0.2742,306.7,-0.4155911,0.1571,3.606412847087743,0.4287321494361145,0.54683745,0_0
29.1,101B,0.13,24.9,25.2,alfalfa,0.15,0.32,0.07,0.11,25.23,0.59,0.02,2,0.05,0.016,0.5613533038468342,0.26527357,3.386849,87.70486216911273,0.08689390663052664,5.270456570380962E-4,-0.024809154,1.8077300930563724,0.5440919,66,-0.016934428,0.9774533215982335,0.45862448,0,0.4165077223692659,0.721596113532206,0.5311095344235559,0.2876808191264256,0.45862448,-93.12223,2.5035335957666485,0.9820223076297704,0.36929379147753993,-0.40058246,0.3607823,0.4962338040801483,8.803438767801639,-0.55590427,0.6887375,0,0.0731,0.1132,0.73121566,0.1171,0.3966,0.2645,307.2,-0.40058246,0.1472,3.6242383415146318,0.4505303307829108,0.55590427,1_0
28.5,104A,0.08,25.87,25.37,grain,0.54,0.5,0.36,0.29,24.03,1.01,0.4,3,0.01,0.016,0.47698039881854615,0.044311013,1.914881,70.09179086797312,0.00898021725839979,0.03708689518582249,-0.19430175,1.2177724015428195,0.31386566,66,-0.14130436,0.9718673566162616,0.3721476,0,0.222766550051683,0.5416219833360085,0.15570537486543476,0.09819420666941457,0.3721476,-6.14641,1.5450951127961372,0.9679557850376014,0.20635028331661617,-0.2882883,0.21763816,0.4321616558666793,13.677852315578622,-0.43584025,0.6004975,0,0.0803,0.1264,0.38021207,0.168,0.3217,0.2288,311.8,-0.2882883,0.1472,3.3827214701872133,0.2224377142535266,0.43584025,2_0
30.17,104B,0.1,25.9,23.07,grain,0.12,0.47,0.04,0.26,24.3,0.95,0.38,4,0,0.016,0.47403882932289604,0.07788691,2.1065521,67.72175196220684,0.02842598803604924,0.022341789085549603,-0.15380655,1.2888573733142537,0.35619944,66,-0.10980533,0.9708971331071437,0.35793516,0,0.24867040817774566,0.5675380492184893,0.21146898660835725,0.1262015609544031,0.35793516,-8.721248,1.6262376370004676,0.9707828042507959,0.22757589981073376,-0.30742857,0.2303827,0.42085598804146196,14.423748737136302,-0.44846416,0.60676426,0,0.0779,0.1212,0.45837963,0.1511,0.3183,0.2288,312.3,-0.30742857,0.1505,3.2741294084174783,0.25477709479463534,0.44846416,3_0
29.27,105A,0.65,28.2,26.1,corn,0.24,0.07,0.5,0.56,25.6,0,2.23,5,3.73,0.016,0.3789807140557594,-0.015397249,1.7882178,63.241301978367616,0.02166064629952766,0.01372830775286973,-0.1269745,1.1733160217294727,0.2826959,66,-0.08451275,0.9688673806662034,0.31758243,0,0.16921313472859106,0.4845213821626832,0.19242352425585804,0.07974727098894337,0.31758243,-8.444819,1.1183745860962295,0.9664274507662767,0.15386854976388564,-0.33801168,0.10075741,0.4041322350353419,29.858899481760147,-0.35864022,0.4871318,8,0.0827,0.1132,0.42247188,0.1341,0.2398,0.2288,305.3,-0.33801168,0.1242,2.509487977847451,0.18554927147041173,0.35864022,4_0
25.87,105B,0.52,26,27.53,corn,0.22,0.07,0.22,0.46,26.03,0,1.17,6,1.35,0.016,0.3832536122400417,-0.01876135,1.7803807,56.65672712393926,0.02227122245262889,0.01293100361095143,-0.123655915,1.17064611450294,0.28067404,66,-0.0819802,0.9653119401713387,0.26732674,0,0.1696328558552518,0.48551812765406466,0.19329174023749474,0.07861535483042877,0.26732674,-8.60394,1.0983606473069432,0.9662821592229321,0.15451514847525363,-0.33997723,0.09500225,0.36244543125558865,28.651815992277637,-0.35449734,0.48157173,8,0.0851,0.1159,0.42393735,0.1366,0.2432,0.2353,305.3,-0.33997723,0.1406,2.4731325624717293,0.1870766231636111,0.35449734,5_0
28.2,107A,0.23,26.83,29.1,corn,0.36,0.44,0.77,0.12,25.1,0.77,0.32,7,0.33,0.016,0.5127033953875928,-0.022930091,1.7015783,40.63633107471894,-0.004720584501294407,0.029236700969813085,-0.18156536,1.1443992990151854,0.259692,66,-0.12268457,0.9519650279365183,0.120629944,0,0.19742793381304652,0.5061546290513969,0.1391101206658525,0.06733787829603415,0.120629944,-5.6842785,1.177478672370328,0.9638071346325561,0.18748803129379074,-0.41042757,0.111875005,0.20741724124702854,10.060316612059673,-0.37057012,0.49307594,0,0.1208,0.1634,0.37085864,0.2091,0.3558,0.3909,313.6,-0.41042757,0.2792,2.786479749496858,0.21517838421249363,0.37057012,6_0
29.3,107B,0.18,27.97,28.83,grain,0.15,0.54,0.12,0.12,25.9,0.87,0.02,8,0.13,0.016,0.4992463799933991,0.021645032,1.8740416,46.812484226421134,0.0017259011396173472,0.025346752728775575,-0.16960655,1.203185837114623,0.30411586,66,-0.11443396,0.9581699208405741,0.18964021,0,0.22410191044962335,0.5410491417536235,0.18490944176896643,0.09222364890504328,0.18964021,-7.060632,1.358373651706763,0.9670830544565994,0.20933893326938968,-0.39654812,0.15238257,0.2719689512148049,11.566094635530485,-0.40447366,0.52495545,0,0.1066,0.1451,0.44342732,0.1826,0.3422,0.3358,313.6,-0.39654812,0.2331,2.967877680209898,0.24354513942310752,0.40447366,7_0
29.6,108A,0.1,26.4,27.67,grain,0.36,0.09,0.63,0.09,26.1,0,0.02,9,0,0.016,0.47800293929413235,0.09307065,2.1297154,67.94232522307635,0.011343834122768732,0.03250327760459279,-0.18381196,1.2976960299420923,0.36096427,66,-0.13183518,0.9709902444756744,0.36240473,0,0.25334829477968485,0.5721937602985203,0.20954650856225052,0.12956284297953677,0.36240473,-7.596012,1.7765313787398749,0.9708953333614389,0.23178762997226607,-0.34612128,0.25409198,0.42403780306103395,14.054725658422308,-0.4704135,0.61993456,0,0.0755,0.1159,0.46287742,0.1511,0.3218,0.2386,314.5,-0.34612128,0.1506,3.6197917866315454,0.2567457810019674,0.4704135,8_0
30.73,108B,0.08,27.07,27,grain,0.42,0.07,0.81,0.08,25.33,0.03,0.01,10,0,0.016,0.49402656384799093,0.1268268,2.3719943,74.15366506469881,0.04428290959571432,0.014289952780671411,-0.12418651,1.3925009217544895,0.4068792,66,-0.08811078,0.973387858086785,0.39924905,0,0.28959372395637756,0.6068571911833055,0.2764847862746423,0.1640546585313987,0.39924905,-12.464721,1.8303795816118669,0.9738620753905883,0.26273021868049673,-0.31759286,0.26709482,0.4527861210693166,12.893391649867176,-0.47785854,0.632514,4,0.0755,0.1185,0.5339462,0.1414,0.3354,0.2288,314.1,-0.31759286,0.144,3.3773472693150017,0.2998361618433144,0.47785854,9_0
