T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630,sr_atmos_opacity,SAVIT,GRNDVI,RVI,CSIT,GLI,kVARI,VARI,kRVI,NDVI,pixel_qa,NGRDI,NBRT,MNDVI,radsat_qa,EVI2,GEMI,kEVI,kNDVI,NBR,NDDI,CIG,NDVIT,SAVI,NDSI,GBNDVI,GVMI,BAI,NDWI,BNDVI,sr_cloud_qa,B1,B2,GARI,B3,B4,B5,B6,MNDWI,B7,CVI,EVI,GNDVI,system:index
28.97,101A,0.13,23.77,24.93,alfalfa,0.14,0.39,0.09,0.1,25.8,0.6,0,1,0.05,0.085,0.5397351781727608,0.3856427,4.940476,143.7951520546421,0.1257035941013209,0.014439593890888097,0.14201188,2.4109105420985895,0.6633267,66,0.08695655,0.9861873828535003,0.6189857,0,0.47895737792919263,0.757529610816731,1.0558826368413432,0.41364630490441284,0.6189857,24.67243,3.149999718533633,0.9881087145189942,0.41115174079518835,-0.35897434,0.41557702,0.6288269687653211,10.11351372318568,-0.61165047,0.7066484,0,0.0642,0.09,0.9226857,0.0756,0.3735,0.1908,295.5,-0.35897434,0.0879,3.4859995436933637,0.5534705600431947,0.61165047,0_0
29.1,101B,0.13,24.9,25.2,alfalfa,0.15,0.32,0.07,0.11,25.23,0.59,0.02,2,0.05,0.084,0.5320880728759295,0.36460078,4.542751,118.63156313747724,0.09957241086924538,0.00570585735511842,0.089423075,2.263862288817084,0.6391683,66,0.05448155,0.9832820039498971,0.5566879,0,0.4580908583884754,0.7418717228665233,0.9801964453368255,0.3872290485868335,0.5566879,37.28905,3.0733332472377386,0.9870526121631396,0.3950804979553528,-0.38754675,0.40110835,0.5790186134607469,10.595908143680681,-0.60578185,0.6921302,0,0.0667,0.09,0.9036476,0.0807,0.3666,0.2039,296.0,-0.38754675,0.1044,3.6524221180465535,0.5292288216571376,0.60578185,1_0
28.5,104A,0.08,25.87,25.37,grain,0.54,0.5,0.36,0.29,24.03,1.01,0.4,3,0.01,0.06,0.5044715249783229,0.27748692,3.962877,118.0438474312957,0.14042101200325666,0.02210553860564035,0.17612195,2.0397698670466617,0.59700793,66,0.107660465,0.9831994677326413,0.5555556,0,0.4123398466789376,0.702718735301996,1.0198647131366605,0.3420554556838433,0.5555556,15.12497,2.19252334938829,0.985147251697313,0.35775318959783314,-0.28856382,0.3045637,0.5793991475962331,12.580356949028367,-0.5229603,0.63954884,0,0.0751,0.107,0.9096459,0.0862,0.3416,0.1938,296.5,-0.28856382,0.0976,2.5719206268302632,0.49284087661694037,0.5229603,2_0
30.17,104B,0.1,25.9,23.07,grain,0.12,0.47,0.04,0.26,24.3,0.95,0.38,4,0,0.06,0.5119688354971775,0.28740305,3.9334087,120.22548575815267,0.10604453633932788,0.012890235175382021,0.1390611,2.028101594048805,0.5946008,66,0.08138931,0.983501819048265,0.56242996,0,0.41620227527443904,0.7079128344786008,1.0874246255108075,0.33952017860607975,0.56242996,20.50851,2.341323241689763,0.9850117658758409,0.36170065869384216,-0.30023482,0.3081832,0.5845257172436761,11.99584209915209,-0.539311,0.62660444,0,0.08,0.1043,0.931962,0.0886,0.3485,0.1938,297.0,-0.30023482,0.0976,2.838362869655984,0.5075775388114502,0.539311,3_0
29.27,105A,0.65,28.2,26.1,corn,0.24,0.07,0.5,0.56,25.6,0,2.23,5,3.73,0.036,0.39935159311970375,-0.17284347,1.2938529,29.008220353799455,0.0030029867431348323,0.015951746308905758,-0.14073133,1.033366114022528,0.12810454,66,-0.09016619,0.9333515957820946,-0.047286116,0,0.08452450944133887,0.391713463336551,0.06539907848285392,0.016409299728380535,-0.047286116,-3.9222991,0.550299361659222,0.9526717574606084,0.08060312874137622,-0.31878445,-0.0717103,0.08183873251389427,20.168928628367173,-0.21577834,0.3249744,0,0.1319,0.167,0.14803238,0.2001,0.2589,0.3233,313.6,-0.31878445,0.2846,1.8575743561940716,0.09998296336925742,0.21577834,4_0
25.87,105B,0.52,26,27.53,corn,0.22,0.07,0.22,0.46,26.03,0,1.17,6,1.35,0.035,0.39907575859591304,-0.17587142,1.2629268,29.04526732262819,-0.012167647803427334,0.02387228701568131,-0.17094737,1.0273674744803893,0.11618881,66,-0.10990796,0.9334337758248624,-0.047286116,0,0.07696040475220563,0.38177329730362003,0.05251234719253971,0.013499020194848306,-0.047286116,-3.1705952,0.5748174721013366,0.9516011910848369,0.07363889485072195,-0.33468235,-0.06736313,0.08183873251389427,19.76823548683155,-0.2232459,0.3249744,0,0.1319,0.1644,0.1276849,0.205,0.2589,0.3298,313.2,-0.33468235,0.2846,1.9637322751487458,0.08985428057381767,0.2232459,5_0
28.2,107A,0.23,26.83,29.1,corn,0.36,0.44,0.77,0.12,25.1,0.77,0.32,7,0.33,0.05,0.4413301212073836,-0.13152833,1.3638476,31.688346649036173,-0.011382130153238341,0.030840735046147226,-0.18786696,1.0485243700451934,0.15392175,66,-0.12552303,0.9388161162914315,-0.013445355,0,0.10815036387983469,0.41041425299409745,0.06447006962936706,0.023687475118552244,-0.013445355,-3.560534,0.7553828217060012,0.9559433305470288,0.10379796984693218,-0.38777006,-0.0010210947,0.1006993198739887,14.750721400867834,-0.27414805,0.39628926,0,0.1269,0.1672,0.17707363,0.2152,0.2935,0.379,307.2,-0.38777006,0.3015,2.2593205592028607,0.11987506933118837,0.27414805,6_0
29.3,107B,0.18,27.97,28.83,grain,0.15,0.54,0.12,0.12,25.9,0.87,0.02,8,0.13,0.051,0.4365465852627401,-0.01915184,1.7835821,48.323097469346614,0.020833339974088445,0.012115723754140443,-0.12065438,1.171735543294513,0.28150135,66,-0.07919462,0.9594510462113016,0.18757764,0,0.1883160408464571,0.5070103866114141,0.19548310888852832,0.07907755795808866,0.18757764,-8.893058,1.0903790195122673,0.966645204302018,0.17408124165418906,-0.3290954,0.08966566,0.2829187398790781,18.137339463057508,-0.3528302,0.4737924,0,0.1024,0.1372,0.43846154,0.1608,0.2868,0.2718,302.5,-0.3290954,0.1962,2.4499485507375773,0.2123213857184115,0.3528302,7_0
29.6,108A,0.1,26.4,27.67,grain,0.36,0.09,0.63,0.09,26.1,0,0.02,9,0,0.035,0.489500756439142,0.14350009,2.6701698,70.45777966443737,0.06614953226857512,0.0,0.0,1.5131147554395201,0.45506608,66,0.0,0.9720114449484449,0.36600497,0,0.3174203259955519,0.6298774882521324,0.5408773756503834,0.2041748210378802,0.36600497,0.0,1.6701697846974954,0.97735443767032,0.2841815714275707,-0.34132054,0.20767824,0.4257786592576553,13.582567692375099,-0.45506608,0.56059533,4,0.093,0.1237,0.7412558,0.1237,0.3303,0.2519,305.8,-0.34132054,0.1533,2.6701697846974954,0.37563637204308165,0.45506608,8_0
30.73,108B,0.08,27.07,27,grain,0.42,0.07,0.81,0.08,25.33,0.03,0.01,10,0,0.035,0.49742664606164866,0.16416362,2.782178,73.68161149103811,0.06613755279732593,2.952393406172093E-6,-0.0019802316,1.5590345126120055,0.47120416,66,-0.0012391784,0.9732196459065429,0.3845206,0,0.3316790087738156,0.6428882363633964,0.5597240743717906,0.21845524546732245,0.3845206,-979.1328,1.7890818240771833,0.9782913844139295,0.2962150094941006,-0.3457792,0.22908692,0.44028987976725814,12.938406193737611,-0.47216764,0.5764376,4,0.0906,0.1209,0.75212634,0.1212,0.3372,0.2487,305.3,-0.3457792,0.1499,2.7960027399358642,0.3899198164423138,0.47216764,9_0
21.2,110A,0.44,22.8,23.8,corn,0.35,0.1,0.59,0.13,16.83,0.03,0.05,11,0.86,0.039,0.6347470777700768,0.47439522,6.1346407,162.9468624143335,0.10428703777263117,0.014282073037827645,0.14818656,2.8175607598401493,0.71967757,66,0.085475214,0.987800925430671,0.65654784,0,0.5941073320589909,0.8587848282372995,1.1727669454169334,0.47610526044810225,0.65654784,31.783125,4.168502096911702,0.9903962218143257,0.5082158146993467,-0.38231292,0.48771596,0.6583163411373457,5.949592378802883,-0.6757722,0.73782635,0,0.0708,0.0908,0.970328,0.0765,0.4693,0.2032,296.0,-0.38231292,0.0973,4.35451975071474,0.7027839457227043,0.6757722,10_0
21.27,110B,0.47,21.43,24.53,alfalfa,0.43,0.13,0.93,0.12,16.57,0.06,0.03,12,0.91,0.04,0.6217125498466914,0.44583663,5.432658,148.20643383243535,0.08807670964150208,0.0030065339101488756,0.064849675,2.5848836823693064,0.68908656,66,0.03949631,0.9865957522834031,0.6287297,0,0.5610502333904411,0.8351195072878811,0.9800205302320919,0.4421018428474732,0.6287297,63.635643,4.019823631304582,0.989161991391704,0.48308112115439145,-0.39567387,0.48251748,0.6354273916607377,6.37280199861633,-0.66776437,0.7393627,0,0.0683,0.0908,0.9180242,0.0839,0.4558,0.2097,296.0,-0.39567387,0.1039,4.63836099338703,0.6425584978657043,0.66776437,11_0
26.9,111A,0.13,24.67,25.23,alfalfa,0.15,0.26,0.06,0.5,25.07,0.43,0.94,13,0.04,0.049,0.5934040102614341,0.4427507,5.7710032,147.7260123742857,0.11390851144536826,0.020680548439793934,0.17978728,2.699283993180661,0.7046228,66,0.10273558,0.9865524532792099,0.627747,0,0.5491198071091347,0.8190579552751543,1.2536189734070025,0.45935483631782725,0.627747,24.27121,3.6957002182108285,0.9897941646198003,0.46956059529289046,-0.3619416,0.45086017,0.6350069965895668,7.431117676666738,-0.64885795,0.7159549,0,0.0705,0.0907,0.98050225,0.0738,0.4259,0.1936,296.0,-0.3619416,0.0974,3.8207570306566945,0.656927530663161,0.64885795,12_0
27.07,111B,0.14,23,24.93,alfalfa,0.15,0.26,0.03,0.54,25.23,0.45,1.37,14,0.07,0.049,0.5586512794011709,0.36419,4.677804,123.21444990682296,0.12354442296004436,0.013033270832413709,0.13458106,2.3144291602462994,0.64775115,66,0.08264913,0.9838988136927688,0.5701983,0,0.48364214157941676,0.7672805480696404,0.9985185130386847,0.39657784091804893,0.5701983,24.560114,2.9635995812306537,0.9874029571239112,0.4176717554465597,-0.3456831,0.39650872,0.5888906803219905,9.050884999754732,-0.59706664,0.6951351,0,0.0705,0.0989,0.91318536,0.0838,0.392,0.2034,296.5,-0.3456831,0.1073,3.3584394743908614,0.5640349682983127,0.59706664,13_0
31.33,113A,0.17,28.13,27.1,alfalfa,0.14,0.07,0.06,0.06,24.93,0.13,0.03,15,0.1,0.034,0.6970082592706758,0.5267996,6.824273,186.28888105173542,0.09701494439100794,0.005704155229739458,0.089921,3.0289579636729504,0.7443852,66,0.054393336,0.989321309472464,0.6942875,0,0.6658900043832661,0.9161282470877393,1.041117699952475,0.5035937286928841,0.6942875,57.898376,5.120181071065697,0.9913189671128053,0.5691518862606847,-0.43261498,0.5553955,0.6899101857844645,4.3356703972320325,-0.7191083,0.7818122,0,0.0661,0.0882,0.9440379,0.0791,0.5398,0.2227,297.5,-0.43261498,0.0974,5.4887334894514,0.7584038469203229,0.7191083,14_0
30.7,113B,0.17,29.27,26.93,alfalfa,0.17,0.1,0.08,0.06,24.8,0.11,0.03,16,0.13,0.034,0.6827436970676595,0.5092326,6.613148,169.2318943459239,0.09605539427088709,0.009547091626155217,0.12008074,2.9659949268660966,0.7372966,66,0.06995885,0.9882513203081918,0.66858053,0,0.6480087118457672,0.9027497842850662,1.1125493247591827,0.49571292024309593,0.66858053,42.801643,4.748351968382027,0.9910430662813114,0.554237942933687,-0.40735918,0.52707636,0.6682730995738326,4.653360968627844,-0.70363134,0.760983,0,0.071,0.091,0.96319854,0.0791,0.5231,0.2161,297.5,-0.40735918,0.1039,4.996644370702904,0.7575757987952896,0.70363134,15_0
