B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity,sr_cloud_qa,pixel_qa,radsat_qa,ARVI,ATSAVI,BAI,BNDVI,CIG,CSIT,CVI,DVI,EVI,EVI2,ExG,GARI,GBNDVI,GDVI,GEMI,GLI,GNDVI,GRNDVI,GVMI,MCARI1,MCARI2,MGRVI,MNDVI,MNDWI,MNLI,MSAVI,MSR,MTVI1,MTVI2,NBR,NBRT,NDBI,NDDI,NDSI,NDVI,NDVIT,NDWI,NGRDI,NLI,NMDI,OCVI,OSAVI,RDVI,RVI,SARVI,SAVI,SAVI2,SAVIT,TGI,TSAVI,TVI,VARI,WDRVI,WDVI,kEVI,kNDVI,kRVI,kVARI,system:index,T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630
0.0369,0.061200000000000004,0.045200000000000004,0.49210000000000004,0.1824,298.0,0.0742,0.055,0,66,0,0.860491493383743,0.6409006166642764,5.271107557213259,0.860491493383743,7.040849673202615,222.55286817778907,5.938666752103892,0.4469,0.7515724328142344,0.6980282147721452,0.0403,0.9622040072859744,0.6675703151474076,0.9832678590915969,0.9221201480234609,0.19706601466992665,0.778781854328574,0.6444444444444445,0.7254844820049541,0.668496,0.6717358358390298,0.29410138758361437,0.7379480840543882,-0.4975369458128079,0.3059937255741373,0.6913303040530847,2.867693401135195,0.6684960000000001,0.6717358358390301,0.7379480840543882,0.9910535703867176,-0.4591549295774648,30.40491896972161,-0.4975369458128079,0.8317513493392891,0.9945406087819448,-0.778781854328574,0.15037593984962405,0.6854146650565743,0.6395135765450608,5.6575822647168925,0.6409006166642764,0.6096799800056816,10.88716814159292,0.5954218443427077,0.5814089637676445,10.88716814159292,0.6572085291867346,2.0180000000000002,0.8317513493392891,27.454000000000004,0.23021582733812948,0.04247431416163541,0.4469,1.1771482885741613,0.5991437146664396,3.9893192976524268,0.04127671035624415,0,28.97,101A,0.13,23.77,24.93,alfalfa,0.14,0.39,0.09,0.1,25.8,0.6,0,1,0.05
0.039400000000000004,0.0693,0.052500000000000005,0.4617,0.19210000000000002,298.5,0.09040000000000001,0.055,0,66,0,0.842745958890441,0.6069415603678434,6.111754407216662,0.842745958890441,5.662337662337662,171.09885711744565,5.047225501770956,0.4092,0.6906562246826897,0.6443282736033257,0.04669999999999999,0.9353884093711468,0.6188639551192145,0.9744700822709416,0.8845264947312496,0.20260303687635572,0.7389830508474575,0.5825192802056555,0.6714774587115012,0.6154560000000001,0.6130260756756027,0.2707117852975495,0.672523093642456,-0.46977811782708495,0.253884953883877,0.6354073552775056,2.49051944672574,0.615456,0.6130260756756026,0.672523093642456,0.9883787723317933,-0.4123585194249005,27.013088276246123,-0.46977811782708495,0.7957992998833139,0.9932344648889126,-0.7389830508474575,0.1379310344827586,0.6047682118008759,0.6389776357827476,4.827929056092241,0.6069415603678434,0.5706496942190121,8.794285714285714,0.5626540536939577,0.5404834235900146,8.794285714285714,0.6289116554846402,2.3819999999999997,0.7957992998833139,25.223999999999997,0.203883495145631,-0.06415323806628156,0.4092,1.094088619997789,0.5603179533875252,3.5487415631567782,0.03384573115210424,1,29.1,101B,0.13,24.9,25.2,alfalfa,0.15,0.32,0.07,0.11,25.23,0.59,0.02,2,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28.5,104A,0.08,25.87,25.37,grain,0.54,0.5,0.36,0.29,24.03,1.01,0.4,3,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.17,104B,0.1,25.9,23.07,grain,0.12,0.47,0.04,0.26,24.3,0.95,0.38,4,0
0.1646,0.21580000000000002,0.25420000000000004,0.3257,0.385,308.1,0.3225,0.036000000000000004,8,66,0,0.32857434223944526,0.09663468036221103,10.596124170893019,0.32857434223944526,0.5092678405931417,32.779048381050146,1.7778307927654153,0.07149999999999995,0.11058525117545152,0.09234003864075457,0.012800000000000006,0.10175438596491192,-0.0774677807675967,0.2429016064792273,0.3690360311793045,0.01505174035747884,0.20295475530932588,-0.1813497549327637,0.10830512887268932,0.04305599999999989,0.03219907205648857,-0.16232072589598381,0.004936747917309443,-0.28162450066577893,-0.2177778937342548,0.09168331762827076,0.1862266000149931,0.04305599999999991,0.03219907205648859,0.004936747917309443,0.9407917008958135,0.08343886309272551,-4.095676139852621,-0.28162450066577893,0.12329712019313664,0.9530365644003673,-0.20295475530932588,-0.08170212765957449,-0.4111227616016621,0.6780010303967027,1.8250311480956594,0.09663468036221103,0.09389219399827263,1.2812745869394175,0.21619808092330403,0.09051205772517242,1.2812745869394175,0.47673114909852377,1.7280000000000006,0.12329712019313664,2.753999999999997,-0.1257367387033399,-0.7728493217561113,0.07149999999999995,0.05453244942483632,0.015201008849799705,1.0308712924899437,0.012972194801851118,4,29.27,105A,0.65,28.2,26.1,corn,0.24,0.07,0.5,0.56,25.6,0,2.23,5,3.73
0.1552,0.21050000000000002,0.24700000000000003,0.32230000000000003,0.38180000000000003,308.1,0.3191,0.036000000000000004,8,66,0,0.34994764397905764,0.1032496914849856,11.060687892937848,0.34994764397905764,0.5311163895486937,32.78247985474401,1.796606879897992,0.0753,0.1147655916600622,0.09829773902146104,0.01880000000000001,0.09823182711198436,-0.0630813953488372,0.2599869886089377,0.3808664292892577,0.02283770651117591,0.20983483483483484,-0.17337778917671195,0.10927239296033621,0.051492,0.038772239932814145,-0.15855363573135967,0.004989086373557899,-0.2892115482019247,-0.2118959450417587,0.097332904194956,0.20080564048654248,0.05149199999999999,0.03877223993281413,0.004989086373557899,0.9407977150108731,0.08450504189745774,-4.410405518554567,-0.2892115482019247,0.13226769717196557,0.9538657913655074,-0.20983483483483484,-0.07978142076502732,-0.40789961071575753,0.6742857142857142,1.8431650846777932,0.1032496914849856,0.09979858514552703,1.3048582995951417,0.22619289340101525,0.09596635442554005,1.3048582995951417,0.47324993937372023,2.0405000000000006,0.13226769717196557,3.058,-0.1207409857757195,-0.769150879203524,0.0753,0.05676508633250559,0.01749295908458084,1.0356088218325283,0.012256596441655148,5,25.87,105B,0.52,26,27.53,corn,0.22,0.07,0.22,0.46,26.03,0,1.17,6,1.35
0.1268,0.17370000000000002,0.23020000000000002,0.3326,0.4108,309.1,0.3257,0.036000000000000004,4,66,0,0.44797562037440136,0.14167127836192583,10.957367076179999,0.44797562037440136,0.914795624640184,33.037371067586854,2.537627822637711,0.10239999999999999,0.14522350805536643,0.13580325503426913,-0.00959999999999997,0.21158978269157452,0.05070289053861952,0.35223414996687336,0.43180378808905795,-0.013628620102214606,0.3138455461189018,-0.09680923285811273,0.11165360400873696,0.059316000000000035,0.045322994760143995,-0.27440267530087925,0.010481543369284547,-0.40564585115483315,-0.17836397705540144,0.13372750805314992,0.2844921272135907,0.059316,0.04532299476014397,0.010481543369284547,0.9412410554261472,0.10519235942964754,-3.7589078273085748,-0.40564585115483315,0.18194740582800284,0.958109168542398,-0.3138455461189018,-0.1398861104233721,-0.35084875200236043,0.5925305242997366,2.654586047536161,0.14167127836192583,0.13649693900153032,1.4448305821025196,0.2820337124845827,0.13104683900691066,1.4448305821025196,0.48590095788711657,0.8365000000000018,0.18194740582800284,3.8839999999999995,-0.20389750992421504,-0.7475138540954983,0.10239999999999999,0.07278209390910487,0.0330927702325506,1.0684507659344107,0.03803157983809137,6,28.2,107A,0.23,26.83,29.1,corn,0.36,0.44,0.77,0.12,25.1,0.77,0.32,7,0.33
0.1077,0.1472,0.17470000000000002,0.3326,0.3272,307.20000000000005,0.23750000000000002,0.036000000000000004,4,66,0,0.5107880990233931,0.2366252060542484,12.517077988280258,0.5107880990233931,1.2595108695652173,45.586622807017534,2.6816341638114367,0.15789999999999998,0.2509456152061282,0.22532936045847884,0.011999999999999969,0.46909667194928684,0.13225531914893615,0.567529067182645,0.5435379957517052,0.02080443828016638,0.38641100458524386,0.01634835752482809,0.2537313432835821,0.1844759999999999,0.14987777136261535,-0.1696225544872158,0.1668128398526574,-0.3794266441821248,-0.09970606915884694,0.21825257386394137,0.5303996714256571,0.18447599999999995,0.14987777136261538,0.1668128398526574,0.9570692211735353,-0.008184298272203723,-9.28299568140818,-0.3794266441821248,0.31125566725803266,0.9682407606068174,-0.38641100458524386,-0.08543025784405102,-0.2245780883375726,0.5751835188254796,2.7561391812197056,0.2366252060542484,0.2216918353481773,1.9038351459645104,0.31229604943414563,0.20951369999336558,1.9038351459645104,0.48914998475776805,1.4074999999999989,0.31125566725803266,8.373999999999999,-0.12838468720821675,-0.6801307943835352,0.15789999999999998,0.209914128028728,0.09657812651481193,1.2138051542680417,0.014035864237722694,7,29.3,107B,0.18,27.97,28.83,grain,0.15,0.54,0.12,0.12,25.9,0.87,0.02,8,0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,29.6,108A,0.1,26.4,27.67,grain,0.36,0.09,0.63,0.09,26.1,0,0.02,9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30.73,108B,0.08,27.07,27,grain,0.42,0.07,0.81,0.08,25.33,0.03,0.01,10,0
